NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1298,11.0077506026488 79.26868333286319 9.164489979621386,101,0,1305.6420559492308,2
1316,21.819280070565313 67.20307175702244 16.537830766352787,46,1,604.8547170545771,2
1332,30.144180256448948 57.14838482660764 26.927590893623403,69,2,846.0874482858378,2
1414,17.711247908472007 -15.28860665051122 55.41565076921684,53,3,609.6488474650313,2
1432,-3.036018242225578 -9.234196652192978 47.37201917006401,42,4,579.4670966283924,2
1440,-3.035975971277504 -5.882675170805335 58.767324734921914,39,5,682.4381524118935,2
1477,-3.3711851290431087 -37.34397992835302 31.954771189310115,61,6,775.2247901230464,2
1508,-2.365726869004071 -31.28955608565414 32.62509832204961,70,7,938.149654719685,2
1562,23.11691683730021 10.896807809927612 51.393840526385944,58,8,961.6896219558915,2
1575,9.061941671180168 25.643651973256606 44.690832354399,101,9,1215.7602245718413,2
1586,0.9855553750637175 77.25770138690133 17.878574319708708,129,10,1851.1682426837094,2
1610,22.143784400076097 42.40147015873084 42.34474129109829,63,11,734.2337837586771,2
1651,40.847349151287304 30.336128940328376 -29.713853208985135,53,12,556.7029234592482,3
1660,59.659363226153594 13.578369739201506 -26.362431291396035,79,13,1142.749752896352,3
1694,57.60528309793576 -24.586158091637195 -19.99458321156767,83,14,1082.3431814488697,3
1731,42.9015315770295 33.68768512011506 -28.038073718825373,56,15,675.9994037203978,3
1782,52.63205959620908 34.357865099860916 19.218840226256848,60,16,838.8125799345185,3
1816,30.14426446110127 39.7202522442653 38.657985962971566,82,17,969.1176763056885,3
1846,37.495984118013794 35.028155328010904 16.872818176034475,69,18,955.5807813831275,3
1887,38.9012883919501 79.93909251685541 -6.252789553771866,48,19,734.322030574783,3
1919,41.171825353413034 49.10472484992033 9.834576822809924,66,20,879.2953184526152,3
1973,36.19865082391253 -25.343066291640387 -0.22030792925210427,50,21,733.4608518724193,3
2021,45.172296356480764 -29.34337982158631 26.592098257257707,89,22,1112.0342104161036,3
2049,63.33547426694094 -9.882645062481428 12.51554179692623,141,23,1826.3976959009553,3
2153,37.49610606264757 4.8640951486960935 31.619574333589057,71,24,905.6327895287301,3
2199,32.19847748466015 26.314023143683055 40.33371253078377,140,25,2007.7018985719535,3
2219,38.90164205573593 -13.883004677425722 33.63044194089712,39,26,410.8756742156407,3
2250,22.14391801146158 -32.04633457591407 39.66326102933113,27,27,600.1413159109826,3
2266,22.79254912147686 -37.34390459213282 24.24607881562248,44,28,659.0948989285009,3
2364,41.92867716414525 -38.74922572508407 -18.98909335408458,86,29,921.4592488731784,3
2404,26.79274161102316 -93.67155597425042 -13.961867838701739,55,30,703.3182405911681,3
2423,18.03550102601487 -96.37447762253908 -2.566544404663448,63,31,954.1642392781329,3
2432,33.82020194026247 -68.91330548071137 -2.2313696382429327,83,32,1016.5258236216886,3
2440,61.60560676916512 -40.695282633152146 -9.269669586482218,62,33,813.0959943376929,3
2488,21.819536399043592 -70.21075742471673 13.856151653106718,119,34,1767.0370769762585,3
2519,27.11717488972999 -59.50741333905611 22.57021053522829,39,35,564.3080608470053,3
2539,20.089787524943823 -56.15592878488243 40.668661133669126,42,36,649.7575288635151,3
2556,-46.271508498495514 25.64378228145278 -30.71896236823362,50,37,735.1001245470638,4
2634,-40.23866309838114 80.60922090391958 3.8022226142214546,68,38,1005.5498131983284,4
2650,-60.34798802540919 35.698369092740016 -12.95561863301341,58,39,790.5265831342832,4
2704,-54.985330801325844 22.962359264687418 20.224732581164776,38,40,550.3696757007417,4
2722,-55.65555033768108 9.556081485362514 35.30669862897311,46,41,601.1671555100961,4
2755,-51.29872253774566 55.13734306843951 10.505303187836546,84,42,1039.210689215653,4
2785,-52.97449551469579 42.40143912732652 5.813090615831128,62,43,873.6317815224396,4
2809,-54.315115329716136 45.0826742553473 8.159194846646667,64,44,924.2655405449929,4
2915,-49.28756700459107 -13.883167028199646 30.614419352465067,51,45,772.8547791579601,4
2949,-50.293027944934295 -24.586517621625454 27.26283238810793,75,46,964.4430212841161,4
2962,-42.919601461713306 -17.88340096072569 30.614379447198598,52,47,690.0186627554536,4
2983,-52.30398359024151 -43.39844626428154 13.856553778993048,79,48,1070.2394274273604,4
3002,-27.16717458795258 -56.15601453588735 38.6579286284987,51,49,746.5784958975784,4
3015,-41.91411030709199 -59.50753094276951 17.208015876994722,32,50,465.7115993958714,4
3033,-62.69410905826012 26.984350622133096 -23.68061773575751,61,51,886.9502275369639,4
3073,-69.06201664585151 4.193746336448193 -22.340039863011455,70,52,801.7126136079961,4
3094,-54.31509499841764 -20.586141464152913 -16.97769097659856,131,53,1817.5814301402563,4
3145,-36.88679676794243 -42.101059636037824 20.559606785762686,69,54,941.6177682115361,4
3163,-38.89762725727817 -50.10161869024091 40.33377569023708,68,55,904.8925182573672,4
3183,-61.35328299954537 -44.69576861789177 -9.269155620932514,138,56,1867.2168646771208,4
3224,-45.93600442675489 -88.26599969460976 -1.5607776360334638,56,57,726.473148069699,4
3247,-46.27111853009689 -80.91424506007887 11.845475601951826,75,58,1044.098456514836,4
3256,-52.639237621553114 -54.10171728118703 -13.626246529719262,60,59,784.0563925470726,4
3271,-60.68296748694723 -62.859021208349475 -16.30748488678179,39,60,573.3836879458771,4
3346,-5.717235091645739 -38.74950698840995 40.66882662875549,286,61,3648.4340458150727,5
3412,-23.145542572706724 61.84042819897253 37.317659408546355,167,62,2200.123634103384,5
3425,-24.486219692124166 61.840465807039934 24.581749656833892,164,63,2056.0537119148785,5
3436,-31.189401498366607 76.58733276625836 15.197464849190391,114,64,1452.309990506776,5
3463,-29.178258744060788 33.687314956829816 44.69102152916733,180,65,2286.144356466574,5
3501,-25.15637090884393 15.588926610194275 40.66908148570625,183,66,2633.3747127243814,5
3539,-6.722718366145158 -3.850105997930737 52.73454638677537,75,67,1188.1203583680692,5
3556,-29.17814800793393 -2.5095311635875817 54.075267303752774,84,68,1226.190641937012,5
3586,0.31529117037381704 -13.234247029400066 -12.28572168227764,70,69,840.5483301465268,6
3628,21.38682492999894 -41.34397585611266 -32.060086257265525,65,70,1055.2709553533227,6
3662,-4.3767850884070985 -50.101408520313086 -4.912392307272395,64,71,901.4394811589262,6
3686,-5.717422715396188 -66.21047160625895 -15.637419585808495,101,72,1128.611108548786,6
3715,0.9857061187608093 -72.26488878331008 -14.96715612623591,105,73,1318.108062035332,6
3725,5.677955775846883 -59.507406434561084 7.15314016338828,218,74,3182.469052624577,6
3745,5.342889365652609 -87.61726586394381 15.196789822161842,162,75,2175.9256082436577,6
3786,-34.205794823244744 -25.991800296726623 -29.37855453604218,49,76,615.5715523099882,7
3797,-29.51357814194919 -52.15554731627762 -32.73021472697196,54,77,711.1717456833816,7
3808,-45.601079679763 -50.75006877421411 -38.762944008572376,101,78,1283.9477916421847,7
3840,-11.415031947536688 -78.2112323253238 -12.285876646209752,70,79,1004.2798086442423,7
3861,-12.420507164965478 -66.85919677622873 -8.934279020971227,117,80,1454.7200082634665,7
3892,-8.398542041817539 -58.85877880966903 17.20787438776935,100,81,1225.7528341349887,7
3919,-31.189052568781875 -79.61687718810767 25.586799078187227,215,82,3112.3667857288033,7
3940,-10.409440082458307 -89.02278094813602 11.84529640887068,130,83,1956.66544046966,7
1140,25.0 -74.0 -36.0,203,84,2998.590113114086,8
1145,-25.0 -74.0 -34.0,203,85,2868.502255745579,8
1150,28.0 -55.0 -48.0,107,86,1506.0501426056112,8
1155,-28.0 -55.0 -48.0,107,87,1325.6116590989252,8
1212,32.0 -40.0 -60.0,107,88,1548.2881636581158,8
1217,-30.0 -48.0 -60.0,107,89,1395.1036012791774,8
1162,-3.1 -16.3 -58.5,17,90,86.51936300131064,9
1165,1.6 -15.7 -57.2,17,91,106.8058779922295,9
1168,-6.1 -14.0 -50.4,17,92,92.81967193633257,9
1171,2.2 -12.8 -51.7,17,93,93.26193841946481,9
1174,-8.2 -10.9 -48.2,17,94,92.79652094999857,9
1177,2.39 -9.2 -48.9,17,95,84.89971298818851,9
1180,-8.8 -5.81 -46.1,17,96,97.50123351144683,9
1183,2.7 -3.2 -46.6,17,97,105.59047623077193,9
1186,-8.4 -0.6 -40.7,17,98,84.19248705165849,9
1189,0.3 1.3 -41.3,17,99,117.23921672243412,9
1192,-6.8 3.0 -34.6,17,100,103.01261119011473,9
1195,-3.0 1.4 -34.0,17,101,92.5389364543385,9
