NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1302,21.571507447513383 47.77980679328471 14.999560814714538,124,0,1674.1640450036557,2
1328,24.747486182224904 45.23894724298816 36.27826023880891,141,1,1769.5571781726283,2
1359,20.649534584015452 28.724126742516315 33.73743190275494,100,2,1394.7249189204767,2
1403,24.132878574973947 -7.48148013065696 38.8187008416127,117,3,1651.812252766761,2
1482,9.18559930171281 -31.577676194517664 55.651015550081226,77,4,922.2041889500155,2
1517,18.703117165044777 -46.22779221699324 35.007374525250135,103,5,1403.3316669381716,2
1524,16.44926742626457 -42.43728051860718 53.42778553814537,130,6,1782.7269787165478,2
1539,28.230892593438764 -32.2947026374266 40.0889224813593,42,7,505.84340613955214,2
1547,22.493455109985852 30.63012185233964 -41.870146588002555,168,8,2216.1628361069625,3
1606,39.09023093029931 33.17091402640802 -45.660792825159916,84,9,1191.849571760206,3
1640,60.297262841945305 19.832036445849216 -43.714380820453684,102,10,1275.3080348597123,3
1683,69.5178031433086 -22.049323853699835 -26.605606888847568,98,11,1256.2318549008583,3
1735,70.43986458950876 -6.2107694994424625 -7.549946944249719,116,12,1514.3149287315982,3
1777,32.02150325384758 -65.28320171072934 10.2349952627781,82,13,1103.797735848303,3
1808,40.319886657646066 -44.28113609371437 19.7628835107166,88,14,1186.6430401298774,3
1815,53.33097669074536 -45.613034232976126 33.41933990499737,44,15,521.0155035776398,3
1875,38.373081367225176 33.80610455075622 -46.89018005499974,44,16,505.13200378709155,3
1907,32.32858208060415 60.4837580243678 -23.111531204309696,101,17,1521.442144663,3
1936,41.85637647497268 70.64667822986927 -11.995743497951892,39,18,545.0687262060385,3
1978,39.70497760401133 73.82248487845537 8.330221438142134,55,19,732.2083107665485,3
1989,32.32865767904201 57.307639260119934 9.600513576553169,68,20,935.2033796103095,3
2016,35.914406507825504 60.4834953674864 23.57460851163099,69,21,857.5379807047767,3
2049,45.03244302744725 35.076064917203695 26.750371626440398,117,22,1669.2241639590416,3
2138,31.406835696965242 -40.4906455887459 40.72405311447805,76,23,1000.246355177693,3
2155,49.23299358236481 -34.753432476143786 36.277747675174524,16,24,225.7522734511978,3
2162,40.31991573294883 -32.29469452803568 41.9944501628386,29,25,441.7624700858466,3
2205,46.364276234104366 24.277973336377478 15.634557812189728,58,26,836.3699809922463,3
2248,39.39776663516806 27.453763266749274 37.54849559009339,55,27,670.7663774890793,3
2267,46.36432610541139 20.466741166937734 35.96047697324038,53,28,787.4881296228983,3
2320,33.04596383350932 -5.5759088888674295 38.81869255915862,111,29,1565.76578362737,3
2373,32.32878508756055 6.492659681441677 31.514127006849552,69,30,920.6376108512268,3
2388,-28.29064921982429 26.18371981649687 -38.038460776716384,36,31,447.4701423661713,4
2428,-32.73697419635398 58.578114185335835 -25.969736309619705,63,32,942.6322317550188,4
2457,-26.385101188533294 33.170763334803404 -37.403240143828135,72,33,780.2547267948881,4
2480,-46.075813674699354 18.561400962356487 -27.240308638960943,45,34,712.6923442108312,4
2519,-45.12300552981771 -1.7645311762897928 -28.510798643830334,55,35,752.0608750717983,4
2552,-54.6507450943336 -17.644240373321423 -19.300677163563677,48,36,630.7932940492271,4
2647,-54.01549847676259 -56.984771661072664 -19.30090462882717,70,37,1149.0241965318708,4
2668,-43.85247253156548 -71.0203931825953 -5.009330020128151,49,38,652.4800061433035,4
2693,-30.195926655035475 -67.2299148059655 23.574017191118102,52,39,774.4676248549184,4
2701,-31.783881958126457 -75.42584884138225 21.350825497077768,57,40,781.2584956616095,4
2711,-31.148718360458776 -79.93353612155374 8.329490683767883,83,41,1182.3628660618353,4
2797,-18.762593325633965 -23.38175222406951 51.522417268873944,49,42,659.1587524677055,4
2803,-29.243180072090674 -35.47067265702974 31.831612956944724,71,43,919.7558016804131,4
2839,-54.968221308416844 -30.3482171248097 26.115026832483306,36,44,492.57260182029853,4
2881,-15.269027657551474 -71.020589046953 36.91286302549745,60,45,724.4883328081722,4
2923,-7.329226960930778 -60.16094458193448 35.64253912411537,66,46,811.4457442810382,4
2939,-44.80544538030496 35.076176978051485 -17.3948396960891,156,47,2073.7116519977144,4
3056,-26.702470381601373 -19.591008430015165 28.338177631193417,71,48,998.435007571146,4
3078,-36.23025286490081 -11.292669604823546 35.325288093616024,77,49,1067.6200464184542,4
3084,-49.56921047302448 0.14075780894030535 16.904998222887723,25,50,283.0709493528832,4
3124,-41.31192068252513 63.65940632462835 5.154409538246064,56,51,851.8304527554681,4
3179,-37.18314867250855 43.333379531279846 21.03392542210261,69,52,1008.4980038133699,4
3209,-32.41926496990576 60.48335294579934 29.609021297409228,73,53,998.3863159836798,4
3217,-44.48780854638504 16.020560811212558 -9.772721142111186,38,54,594.2407256767126,4
3275,-36.86546228183571 1.411056068149721 33.10221054814966,49,55,614.0163359957878,4
3299,-29.560818338770197 5.857323601068087 40.72445104654093,50,56,674.9229306763509,4
3314,-0.3424888247769496 45.23928003299165 -28.510625141749856,70,57,788.0791820910246,5
3355,12.04368868340526 78.90384548731416 22.304394753887387,123,58,1574.9905411258483,5
3373,22.493483795281062 84.62060070328067 10.871063881388164,103,59,1559.068902777138,5
3383,24.747399202617515 71.28168460617617 14.999689029221969,46,60,617.600941734398,5
3426,-12.728504856262338 65.56483749644642 35.00808483784056,95,61,1309.9870747867064,5
3464,-16.857128768924678 28.723994595864532 46.441224172993024,85,62,1070.4886649201783,5
3493,-21.621084267325504 40.157451658432734 25.48017353131151,49,63,653.3693986216446,5
3504,-28.290512939222765 31.90000394218262 29.29125582124659,119,64,1601.3975243493483,5
3582,-1.6126843565249245 -17.64430824306329 7.059413796314438,99,65,1459.1570966305155,5
3591,2.1985619451347835 -54.526250701772334 41.35922006989987,79,66,1269.3279980718896,5
3598,-5.423665129715974 -47.45729204493893 47.07595017555842,99,67,998.6215015879154,5
3631,-15.269140805482763 2.0462484293210172 37.86606178755977,130,68,1681.8961875097887,5
3663,3.4689039747171084 -24.611098647969282 49.616804552179616,84,69,1229.684812461313,5
3692,-11.457991012646014 -11.907378715197172 44.53542133181976,69,70,877.0816251684496,5
3729,6.0094924550119755 -13.853552688939315 -13.901708474504423,84,71,1104.7936548011955,6
