NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1356,28.021893188263473 33.757178460428044 29.293402291541263,66,0,908.8973101607138,2
1377,8.605871897990976 33.757185242969264 20.279051781409613,24,1,356.54621667538316,2
1432,4.445800892902889 -24.535522862450353 60.49757354378637,71,2,970.8399551600279,2
1460,15.943206107089992 -19.614399563319704 56.3369259434251,62,3,650.7365389590857,2
1471,11.726672178881508 -10.666954423370813 52.176445439448074,27,4,367.00384801428675,2
1489,26.344442785473465 10.18061954979796 45.24212336733844,41,5,547.954939901913,2
1508,26.344478184413465 0.5173817550041171 47.32236329212171,62,6,916.3092789044548,2
1533,23.212426313322293 84.3773445310146 14.731705239624016,62,7,880.2921487718637,2
1542,22.876943650329697 59.413994448574584 15.42503301801812,60,8,921.8075305629746,2
1560,29.364026353840742 44.851983400085594 32.760563447353036,57,9,702.0245180117182,2
1584,3.7516978878558773 -33.482673611265874 -9.538499962147029,40,10,548.0796854237678,2
1594,9.299434800091278 -15.476099046622002 26.519680199428127,39,11,499.8769477882452,2
1637,23.8838900424015 -36.94996305258626 36.92084309255639,62,12,769.8917334795099,2
1652,14.500229563693114 -52.2724348872453 30.68003766140447,62,13,828.2303006989293,2
1687,24.554435928628486 69.12202046519289 1.556531953053139,52,14,750.577078668816,2
1702,7.912064082223346 83.68399470804921 -10.578202726637477,42,15,485.2966044261217,2
1796,63.36397600187567 14.34142871848248 -2.6046307746432436,46,16,616.0393036967001,3
1826,30.14701940138155 16.421492067659383 37.61442352024123,75,17,975.6654734540238,3
1884,66.1600637973677 0.5176490829419245 -3.298140936635914,69,18,966.0416487184702,3
1898,62.69289018339685 11.567736482661466 -6.071766551281732,76,19,1236.0700807096216,3
1920,42.897139692135966 -5.074697110218183 36.92078529693775,61,20,844.0783409444709,3
1968,23.212809473957158 -24.535396599461286 36.57418560312507,51,21,700.6768628926544,3
1980,51.62090968327323 -46.00917933072207 32.759974169230595,84,22,1113.5039444979802,3
2009,29.02873081275041 -43.884240452144994 42.46817262373262,57,23,746.2270425278381,3
2137,47.14686098078451 -75.08819379280993 -5.378539826647468,77,24,949.6457674093866,3
