NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1353,3.099039734207353 -21.744973591948636 52.81192096018173,62,0,738.1258798005141,2
1385,17.623048323832364 -52.89314723857334 43.68691670094223,62,1,701.7002134724014,2
1394,6.689834030365212 18.613622639427753 35.43792534084376,58,2,780.5329249647284,2
1421,19.43766416709271 17.80741346058116 31.226369798440736,42,3,540.1322100647069,2
1451,24.03099928702306 -4.790460839884209 31.972163563605402,40,4,564.9000587443122,2
1560,-6.69050160532778 -65.670738208965 4.719768165323204,37,5,588.0883246131672,2
1592,-9.930036476813363 -80.50653380026277 24.895510421118182,60,6,723.6358858586758,2
1613,-16.36203602298775 -44.39100420171023 47.48045389711649,25,7,310.0297933797845,2
1619,-7.837397615246674 -55.017397217272055 38.31601224582052,55,8,782.2390601915978,2
1627,23.336905473873582 -59.99451784937215 22.83546193691162,48,9,523.4107567966722,2
1639,20.884477468503185 -63.54318754791465 13.280428069193734,55,10,653.8311243279857,2
1716,8.137950677009588 70.87486468650896 26.5358870302408,29,11,383.64915580037245,2
1729,15.55158353625399 48.280981782952004 31.180888196658106,85,12,1259.7557227962523,2
1753,-2.842520192828576 48.28276066521111 29.717778823165723,34,13,512.3868063296094,2
1763,30.478770612650983 73.70139895890964 7.131416762623123,53,14,723.2048546992969,2
1780,23.385417169763805 60.24188583014742 12.789472936609984,20,15,294.39907297823356,2
1791,21.234959527172972 55.34657731775503 23.04993735198526,65,16,1024.3427907895,2
1836,51.423351897688406 45.35948310032169 -21.793282930720956,75,17,1118.2259684401965,3
1990,57.70762319635059 43.341315687185 10.421784774410126,58,18,759.7745051973982,3
2022,37.88960603486983 41.17857186513924 12.141739293176444,27,19,390.4191721771198,3
2040,42.06810454327426 27.05434255394695 36.935447094672305,62,20,909.2351224000425,3
2062,36.80371067144775 38.33618237089297 21.34117428767489,68,21,810.5956229379082,3
2106,36.41714758923417 -3.424429618670047 30.941400650509355,50,22,642.182355550246,3
2115,40.29929867784256 8.678017924849117 35.53694253163841,54,23,761.8783082201538,3
2127,37.784342366319684 -4.088124227391427 49.34365551992704,43,24,607.9569120839205,3
2179,61.56686655016635 12.194870372040201 20.72835830816885,48,25,669.2548124111676,3
2198,48.41716223491032 7.201431131593201 42.989716483459105,61,26,796.844039422673,3
2241,45.64335021203568 -24.62272304291186 18.960607110256873,82,27,1166.6205914319917,3
2248,52.32531781530768 -38.05171039105549 33.49964050630112,37,28,548.3278234759673,3
2253,50.221850787385755 -33.10626364820991 26.412302071294032,62,29,796.8566667368284,3
2261,42.81015901465749 -24.620964871128567 20.014649275063196,25,30,351.19495108531066,3
2280,43.47251931749484 -20.35491000810661 37.7017347811178,45,31,618.2980240354327,3
2431,41.813258116231594 -53.66394575999088 -6.843515686223681,83,32,1231.4405117728998,3
2440,52.7062750308383 -64.95529589639541 21.14863597240622,73,33,1154.3186187302836,3
2459,36.05139130764435 -42.295161234825784 32.75459243545807,32,34,451.1481548511011,3
