ID,VesselID,Connectivity,Position,Radius,LengthAlongVessel,Elasticity,R1,R2,C,Thickness,Type
0,1,"1","-10.153502464294434,-82.93685913085938,-217.5836639404297",12.000000,0.000000,400000.000000,,,,1.397814,2,
1,1,"0,2","-10.10961335062861,-82.40901674564421,-216.45142952145352",12.000000,2.500000,400000.000000,,,,1.397814,0,
2,1,"1,3","-10.065724236962788,-81.88117436042906,-215.31919510247735",12.000000,5.000000,400000.000000,,,,1.397814,0,
3,1,"2,4","-10.021835123296965,-81.35333197521389,-214.18696068350118",12.000000,7.500000,400000.000000,,,,1.397814,0,
4,1,"3,5","-9.977946009630594,-80.82548958999809,-213.05472626452536",12.000000,10.000000,400000.000000,,,,1.397814,0,
5,1,"6,4","-9.934056807440102,-80.29764710016562,-211.9224918977528",12.000000,12.500000,400000.000000,,,,1.397814,0,
6,1,"5,7","-9.890167605249609,-79.76980461033314,-210.79025753098023",12.000000,15.000000,400000.000000,,,,1.397814,0,
7,1,"6,8","-9.846278403059117,-79.24196212050067,-209.6580231642077",12.000000,17.500000,400000.000000,,,,1.397814,0,
8,1,"9,7","-9.802389200868625,-78.71411963066821,-208.52578879743513",12.000000,20.000000,400000.000000,,,,1.397814,0,
9,1,"8,10","-9.758499849077971,-78.18627724898786,-207.3935543860416",12.000000,22.500000,400000.000000,,,,1.397814,0,
10,1,"9,11","-9.714610497287126,-77.65843486730765,-206.26131997464796",12.000000,25.000000,400000.000000,,,,1.397814,0,
11,1,"10,12","-9.67072114549628,-77.13059248562745,-205.12908556325436",12.000000,27.500000,400000.000000,,,,1.397814,0,
12,1,"11,13","-9.62683179370603,-76.60275010395436,-203.99685115185738",12.000000,30.000000,400000.000000,,,,1.397814,0,
13,1,"12,14","-9.582942563236065,-76.07490918135933,-202.86461605554342",12.000000,32.500000,400000.000000,,,,1.397814,0,
14,1,"13,15","-9.5390533327661,-75.5470682587643,-201.7323809592295",12.000000,35.000000,400000.000000,,,,1.397814,0,
15,1,"16,14","-9.495164102296137,-75.01922733616925,-200.60014586291553",12.000000,37.500000,400000.000000,,,,1.397814,0,
16,1,"15,3824","-9.451274871826172,-74.49138641357422,-199.46791076660156",12.000000,40.000000,400000.000000,,,,1.397814,0,
17,2,"3824,18","-9.451274871826172,-74.49138641357422,-199.46791076660156",11.200000,0.000000,400000.000000,,,,1.319877,0,
18,2,"17,19","-10.382941672872205,-75.78968824985284,-199.07487454699154",11.200000,2.500000,400000.000000,,,,1.319877,0,
19,2,"20,18","-11.31460847391824,-77.08799008613147,-198.6818383273815",11.200000,5.000000,400000.000000,,,,1.319877,0,
20,2,"19,21","-12.246321056217411,-78.38627185856144,-198.28884436944622",11.200000,7.500000,400000.000000,,,,1.319877,0,
21,2,"22,20","-13.178125200097714,-79.68451350369958,-197.89593493400636",11.200000,10.000000,400000.000000,,,,1.319877,0,
22,2,"21,23","-14.109929343978019,-80.98275514883771,-197.5030254985665",11.200000,12.500000,400000.000000,,,,1.319877,0,
23,2,"22,24","-15.041542834948574,-82.28110919458409,-197.11003541755483",11.200000,15.000000,400000.000000,,,,1.319877,0,
24,2,"25,23","-15.973060998773114,-83.57951944104204,-196.71700501346493",11.200000,17.500000,400000.000000,,,,1.319877,0,
25,2,"24,3825","-16.904579162597656,-84.8779296875,-196.323974609375",11.200000,20.000000,400000.000000,,,,1.319877,0,
26,3,"27,3824","-9.451274871826172,-74.49138641357422,-199.46791076660156",6.200000,0.000000,400000.000000,,,,0.841829,0,
27,3,"28,26","-8.41082743249826,-73.90151336040553,-198.6045071231103",6.200000,2.428571,400000.000000,,,,0.841829,0,
28,3,"27,29","-7.370379993170351,-73.31164030723683,-197.74110347961903",6.200000,4.857143,400000.000000,,,,0.841829,0,
29,3,"30,28","-6.329941570755356,-72.72175294154513,-196.8776987493429",6.200000,7.285714,400000.000000,,,,0.841829,0,
30,3,"29,31","-5.289539214959023,-72.1318083274011,-196.01428967205192",6.200000,9.714286,400000.000000,,,,0.841829,0,
31,3,"32,30","-4.249136859162688,-71.54186371325709,-195.15088059476093",6.200000,12.142857,400000.000000,,,,0.841829,0,
32,3,"31,33","-3.1804733104859424,-70.97111702211804,-194.31089287178293",6.200000,14.571429,400000.000000,,,,0.841829,0,
33,3,"34,32","-2.069413338876817,-70.42917036311448,-193.5060410203622",6.200000,17.000000,400000.000000,,,,0.841829,0,
34,3,"33,35","-0.9583533672676929,-69.88722370411091,-192.70118916894148",6.200000,19.428571,400000.000000,,,,0.841829,0,
35,3,"36,34","0.19312231173350047,-69.37678574454208,-191.9351955379291",6.200000,21.857143,400000.000000,,,,0.841829,0,
36,3,"37,35","1.3715427002458536,-68.88735428982312,-191.19510825691242",6.200000,24.285714,400000.000000,,,,0.841829,0,
37,3,"36,38","2.549963088758201,-68.39792283510417,-190.45502097589576",6.200000,26.714286,400000.000000,,,,0.841829,0,
38,3,"39,37","3.7287203749937676,-67.90873713317175,-189.71530787261824",6.200000,29.142857,400000.000000,,,,0.841829,0,
39,3,"38,40","4.907561872448665,-67.41961285979878,-188.97568829910207",6.200000,31.571429,400000.000000,,,,0.841829,0,
40,3,"39,3826","6.0864033699035645,-66.93048858642578,-188.23606872558594",6.200000,34.000000,400000.000000,,,,0.841829,0,
41,4,"42,3825","-16.904579162597656,-84.8779296875,-196.323974609375",11.000000,0.000000,400000.000000,,,,1.300317,0,
42,4,"43,41","-17.19130506552367,-85.415612236422,-196.11346607000027",11.000000,2.437500,400000.000000,,,,1.300317,0,
43,4,"42,44","-17.47803096844969,-85.953294785344,-195.9029575306255",11.000000,4.875000,400000.000000,,,,1.300317,0,
44,4,"45,43","-17.764756871375706,-86.490977334266,-195.69244899125079",11.000000,7.312500,400000.000000,,,,1.300317,0,
