NodeID,Position,Number of CouplingPoints,ClusterID,Area,MajorVesselID
1267,-3.3492807241617157 85.55256133014666 -31.774531134154564,0,0,644.7266077992792,2
1337,3.018406201389653 98.28712864342424 7.100704691840515,0,1,569.8793160983485,2
1381,21.104962536766134 40.644556577217095 24.52676080685669,0,2,888.1932871042379,2
1393,29.537258220284116 56.060536092059365 29.88895784069875,0,3,593.4351679390824,2
1404,18.077651543229937 84.21179639066874 -1.612936704309588,0,4,1076.4483947947463,2
1424,17.104788368983023 82.8711149371251 12.46253766421645,0,5,537.8710707058591,2
1486,1.6782567386125846 4.450512223797782 13.132063232389648,0,6,484.2034693959901,2
1539,-1.6726707024525207 -29.733233786089443 52.67712423185503,0,7,459.09468253873877,2
1559,7.04052964118417 -30.38152166093815 22.515311543523623,0,8,547.814428268151,2
1580,-0.3321631456702829 -45.19236095612745 41.95277177786382,0,9,753.8899892070458,2
1598,5.364993314392201 1.7690029534985667 58.03950166572438,0,10,1026.6903590499157,2
1606,-5.024225496913603 24.55799213363719 43.96432904758096,0,11,1203.9280472680325,2
1611,-2.6782944647882356 31.930800389116527 50.66700379086353,0,12,1712.2064778865135,2
1636,21.10522307731011 -0.8685713181610847 41.953104960960786,0,13,605.9833375518706,2
1662,38.18543445790626 39.97497856715816 -33.78606974988269,0,14,670.8325455422762,3
1798,52.56427239281649 -55.89444458892794 15.141873325443525,0,15,616.8805504100147,3
1825,41.213145091422014 -78.70496331464963 13.130921119160433,0,16,772.9149980437181,3
1855,16.781063248908204 -82.0563609483349 13.801304743664812,0,17,1122.6256783641682,3
1873,24.4566158131219 -63.24585826071249 21.174326679774445,0,18,652.9098496921823,3
1885,57.645154438860715 -64.54269213879599 -9.65791046090381,0,19,1020.3690154790453,3
1908,40.888683779709964 -75.35344662492662 -6.976872736457309,0,20,516.0712940108752,3
1936,65.64466151215893 13.164547942928614 -25.743400079661217,0,21,630.2027541936146,3
1961,71.37448496645713 -27.029523166485703 -21.052037816010447,0,22,443.27654090908453,3
1981,70.72576881408867 -13.624254730709378 -25.743718387485092,0,23,1910.6415799024749,3
1993,60.99599880408746 21.878004174794224 -33.116148439841616,0,24,1221.2083017930117,3
2028,39.59119061045491 41.985146222921294 24.526655243550167,0,25,1118.7679266987454,3
2044,28.456242586949074 33.271704253120305 25.196896576203702,0,26,454.2015460013434,3
2134,64.02346676923429 -8.97623011603485 24.525953986226824,0,27,1251.0676866717595,3
2145,52.239934368886765 -16.327621459656132 33.9096072199387,0,28,481.9017001003223,3
2177,28.132246395310816 -26.381713523811495 42.287919640994204,0,29,686.8362991443724,3
2184,35.9159664112187 -22.3818363916503 51.33643492795422,0,30,633.8444761265099,3
2206,39.267225232619595 -53.84058576127097 26.536420396729728,0,31,780.4326293026465,3
2229,31.4836387863535 -46.489556712380725 44.633595441927056,0,32,860.5073531291753,3
2335,35.9156535069103 39.9742136619523 37.26161644780343,0,33,1165.2910485115824,3
2338,50.29349074257863 31.261485622758965 -20.38102030164559,0,34,1947.9046746760243,3
2362,40.88848609312332 0.4291819022597274 4.083241772198772,0,35,1175.8931495461202,3
2384,37.86164846033688 -3.570998878013382 25.196443135344566,0,36,954.7684200824074,3
2412,43.59136744387941 5.120637065746603 39.942239149838464,0,37,478.0469791631996,3
2440,25.1052449357515 -14.273828163100548 46.64476380645794,0,38,433.26184449094535,3
2464,43.59092509964922 64.77424849204439 4.419040413521912,0,39,649.1603243804603,3
2468,38.834181456174136 46.00711405823677 -13.678177521752312,0,40,830.110030543447,3
2496,-50.93763837508368 36.62332542996798 -31.10448187716208,0,41,1860.2576188220821,4
2553,-59.98602304191891 3.7804676264551507 -27.75346943158338,0,42,480.49578711749723,4
2644,-65.01269276197006 7.801516601088396 19.164881755901423,0,43,1048.8669998208711,4
2663,-49.59666338949994 18.525648463511125 28.54854914569541,0,44,1053.2113850101737,4
2695,-45.9101105567494 5.120326051239398 39.2725594694501,0,45,642.9103348300295,4
2715,-41.88851302297221 -6.2740869000724215 38.267020100859135,0,46,664.1770772472871,4
2762,-41.218176348620666 -44.43562043841861 28.547824134287826,0,47,808.5821924426364,4
2777,-38.872220799230426 -58.59756727066652 27.542268209501454,0,48,325.33169091459183,4
2818,-30.15887718174043 -11.679451808173114 45.30462990531613,0,49,917.0836809116081,4
2858,-29.82366159449053 -28.436019924355953 49.32601278142429,0,50,421.0239188263169,4
2864,-29.153475064340775 -24.32786469504329 39.942397045598966,0,51,1009.8612967310885,4
2913,-72.0504911597147 -39.13803265540652 -15.689148483775343,0,52,1066.2181907527697,4
2928,-44.23468580154418 -11.678966346304918 -4.964859794709946,0,53,1553.2529140986308,4
2991,-48.591050263027995 -70.5972930070976 13.801850610686232,0,54,1761.3499605645854,4
3032,-33.51008307362567 -74.59731321629886 26.201539078037815,0,55,1519.4406012624358,4
3040,-57.64009420857736 18.526105389099175 -17.02914950773265,0,56,912.8993700564031,4
3074,-53.95354220616022 28.579783650926117 6.4300705415931505,0,57,1129.0175373883594,4
3113,-51.607411340897826 21.876868482140363 35.921471258907054,0,58,1003.8288993751787,4
3123,-46.91594260163943 9.142588318254258 -26.412975173151903,0,59,1519.0538023860652,4
3139,-60.99144073871084 30.590792367938047 -17.028999262328465,0,60,1880.7871982420584,4
3197,-34.18087592256276 60.081998088157384 18.159846876574697,0,61,3245.389361998325,5
3283,-6.36449124102525 -30.38189775088669 53.34740764256,0,62,1931.5111545020106,5
3298,-14.072645161774249 -40.43553525067824 24.52612515352969,0,63,1544.0819641848568,5
3308,-3.0133035776017647 -36.4356286246206 31.898967383126962,0,64,1303.2309444135606,5
3361,-21.44547574933811 -4.220120649376392 50.666740358613765,0,65,2262.152082662726,5
3386,-8.040239868757913 -8.328124595921711 50.66660969362666,0,66,3131.7788531500846,5
3396,-35.521213797565224 48.017065952585796 39.6080810909185,0,67,1718.2370482433346,5
3412,-40.883207150629524 32.600972956366235 46.31056304502683,0,68,1554.370042681253,5
3426,25.104813636136207 -17.624405593774327 -21.721899633534754,0,69,949.0672804642471,6
3475,22.07790231803775 -71.245108684491 -39.819499545131805,0,70,1783.0649377783573,6
3510,10.056615941286047 -78.70474562942657 -17.700885063553272,0,71,1205.9987259521702,6
3544,8.045990557600454 -91.35340993449923 -0.2742197823727597,0,72,2467.097594309192,6
3586,11.06222349879095 -84.6509275839434 12.460792309408435,0,73,1384.1758819132565,6
